,Supermodule_id,Super.Module.class,X,Module_id,Compound_IN_name,Compound_IN_ID,Compound_OUT_name,Compound_OUT_ID,rxnName
1,1,Glycolysis + TCA cycle,M_1,1,Glucose,C00267,G6P,C00668,Glucose -> G6P
2,1,Glycolysis + TCA cycle,M_2,2,G6P,C00668,G3P,C00118,G6P -> G3P
3,1,Glycolysis + TCA cycle,M_3,3,G3P,C00118,3PD,C00197,G3P -> 3PD
4,1,Glycolysis + TCA cycle,M_4,4,3PD,C00197,Pyruvate,C00022,3PD -> Pyruvate
5,1,Glycolysis + TCA cycle,M_5,5,Pyruvate,C00022,Acetyl-Coa,C00024,Pyruvate -> Acetyl-Coa
6,1,Glycolysis + TCA cycle,M_6,6,Pyruvate,C00022,Lactate,C00256,Pyruvate -> Lactate
7,1,Glycolysis + TCA cycle,M_7,7,Acetyl-CoA+Oxaloacetate,C00024+C00036,Citrate,C00158,Acetyl-CoA+Oxaloacetate -> Citrate
8,1,Glycolysis + TCA cycle,M_8,8,Citrate,C00158,2OG,C00026,Citrate -> 2OG
9,1,Glycolysis + TCA cycle,M_9,9,2OG,C00026,Succinyl-CoA,C00091,2OG -> Succinyl-CoA
10,1,Glycolysis + TCA cycle,M_10,10,Succinyl-CoA,C00091,Succinate,C00042,Succinyl-CoA -> Succinate
11,1,Glycolysis + TCA cycle,M_11,11,Succinate,C00042,Fumarate,C00122,Succinate -> Fumarate
12,1,Glycolysis + TCA cycle,M_12,12,Fumarate,C00122,Malate,C00149,Fumarate -> Malate
13,1,Glycolysis + TCA cycle,M_13,13,Malate,C00149,Oxaloacetate,C00036,Malate -> Oxaloacetate
14,1,Glycolysis + TCA cycle,M_14,14,Pyruvate,C00022,Oxaloacetate,C00036,Pyruvate -> Oxaloacetate
15,2,Serine Metabolism,M_15,15,3PD,C00197,Serine,C00065,3PD -> Serine
16,2,Serine Metabolism,M_16,16,Serine,C00065,Pyruvate,C00022,Serine -> Pyruvate
17,2,Serine Metabolism,M_17,17,Serine,C00065,Cysteine,C00097,Serine -> Cysteine
18,2,Serine Metabolism,M_18,18,Serine,C00065,Glycine,C00037,Serine -> Glycine
19,2,Serine Metabolism,M_19,19,Glycine,C00037,Creatine,C00300,Glycine -> Creatine
20,2,Serine Metabolism,M_20,20,Glycine,C00037,Glyoxylate,C00048,Glycine -> Glyoxylate
21,2,Serine Metabolism,M_21,21,Choline,C00114,Glycine,C00037,Choline -> Glycine
22,2,Serine Metabolism,M_22,22,Glycine,C00037,Glycine-OUT,C00000,Glycine -> Glycine-OUT
23,2,Serine Metabolism,M_23,23,Glycine,C00037,Glutathione,C00051,Glycine -> Glutathione
24,2,Serine Metabolism,M_24,24,Glutathione,C00051,Glycine + Cysteine,C00037+C00097,Glutathione -> Glycine + Cysteine
25,2,Serine Metabolism,M_25,25,Glutathione,C00051,glutamate,C00025,Glutathione -> glutamate
26,2,Serine Metabolism,M_26,26,Glutamate + Cysteine,C00025+C00097,Glutathione,C00051,Glutamate + Cysteine -> Glutathione
27,2,Serine Metabolism,M_27,27,Serine,C00065,2-Aminoacrylate,C02218,Serine -> 2-Aminoacrylate
28,2,Serine Metabolism,M_28,28,Serine,C00065,Methionine,C00073,Serine -> Methionine
29,2,Serine Metabolism,M_29,29,Cysteine,C00097,Pyruvate,C00022,Cysteine -> Pyruvate
30,2,Serine Metabolism,M_30,30,Methionine,C00073,Cysteine,C00097,Methionine -> Cysteine
31,2,Serine Metabolism,M_31,31,Methionine,C00073,Methionine-OUT,C00000,Methionine -> Methionine-OUT
32,2,Serine Metabolism,M_32,32,Threonine,C00188,Propanoyl-CoA,C00100,Threonine -> Propanoyl-CoA
33,3,Pentose phosphate,M_33,33,G3P,C00118,PRPP,C00119,G3P -> PRPP
34,4,Fatty Acids Metabolism/Synthesis,M_34,34,Acetyl-CoA,C00024,Fatty Acid,CC0001,Acetyl-CoA -> Fatty Acid
35,4,Fatty Acids Metabolism/Synthesis,M_35,35,Fatty Acid,CC0001,Acetyl-CoA,C00024,Fatty Acid -> Acetyl-CoA
36,5,Aspartate Metabolism,M_36,36,Aspartate,C00049,Pyrimidine,CC0002,Aspartate -> Pyrimidine
37,5,Aspartate Metabolism,M_37,37,Aspartate,C00049,Aspartate-OUT,C00000,Aspartate -> Aspartate-OUT
